1,あきのたの,かりほのいほの,とまをあらみ,わがころもでは,つゆにぬれつつ
2,はるすぎて,なつきにけらし,しろたへの,ころもほすてふ,あまのかぐやま
3,あしびきの,やまどりのをの,しだりをの,ながながしよを,ひとりかもねむ
4,たごのうらに,うちいでてみれば,しろたへの,ふじのたかねに,ゆきはふりつつ
5,おくやまに,もみぢふみわけ,なくしかの,こゑきくときぞ,あきはかなしき
6,かささぎの,わたせるはしに,おくしもの,しろきをみれば,よぞふけにける
7,あまのはら,ふりさけみれば,かすがなる,みかさのやまに,いでしつきかも
8,わがいほは,みやこのたつみ,しかぞすむ,よをうぢやまと,ひとはいふなり
9,はなのいろは,うつりにけりな,いたづらに,わがみよにふる,ながめせしまに
10,これやこの,ゆくもかへるも,わかれては,しるもしらぬも,あふさかのせき
11,わたのはら,やそしまかけて,こぎいでぬと,ひとにはつげよ,あまのつりぶね
12,あまつかぜ,くものかよひぢ,ふきとぢよ,をとめのすがた,しばしとどめむ
13,つくばねの,みねよりおつる,みなのがは,こひぞつもりて,ふちとなりぬる
14,みちのくの,しのぶもぢずり,たれゆゑに,みだれそめにし,われならなくに
15,きみがため,はるののにいでて,わかなつむ,わがころもでに,ゆきはふりつつ
16,たちわかれ,いなばのやまの,みねにおふる,まつとしきかば,いまかへりこむ
17,ちはやぶる,かみよもきかず,たつたがは,からくれなゐに,みづくくるとは
18,すみのえの,きしによるなみ,よるさへや,ゆめのかよひぢ,ひとめよくらむ
19,なにはがた,みじかきあしの,ふしのまも,あはでこのよを,すぐしてよとや
20,わびぬれば,いまはたおなじ,なにはなる,みをつくしても,あはむとぞおもふ
21,いまこむと,いひしばかりに,ながつきの,ありあけのつきを,まちいでつるかな
22,ふくからに,あきのくさきの,しをるれば,むべやまかぜを,あらしといふらむ
23,つきみれば,ちぢにものこそ,かなしけれ,わがみひとつの,あきにはあらねど
24,このたびは,ぬさもとりあへず,たむけやま,もみぢのにしき,かみのまにまに
25,なにしおはば,あふさかやまの,さねかづら,ひとにしられで,くるよしもがな
26,をぐらやま,みねのもみぢば,こころあらば,いまひとたびの,みゆきまたなむ
27,みかのはら,わきてながるる,いづみがは,いつみきとてか,こひしかるらむ
28,やまざとは,ふゆぞさびしさ,まさりける,ひとめもくさも,かれぬとおもへば
29,こころあてに,をらばやをらむ,はつしもの,おきまどはせる,しらぎくのはな
30,ありあけの,つれなくみえし,わかれより,あかつきばかり,うきものはなし
31,あさぼらけ,ありあけのつきと,みるまでに,よしののさとに,ふれるしらゆき
32,やまがはに,かぜのかけたる,しがらみは,ながれもあへぬ,もみぢなりけり
33,ひさかたの,ひかりのどけき,はるのひに,しづごころなく,はなのちるらむ
34,たれをかも,しるひとにせむ,たかさごの,まつもむかしの,ともならなくに
35,ひとはいさ,こころもしらず,ふるさとは,はなぞむかしの,かににほひける
36,なつのよは,まだよひながら,あけぬるを,くものいづこに,つきやどるらむ
37,しらつゆに,かぜのふきしく,あきののは,つらぬきとめぬ,たまぞちりける
38,わすらるる,みをばおもはず,ちかひてし,ひとのいのちの,をしくもあるかな
39,あさぢふの,をののしのはら,しのぶれど,あまりてなどか,ひとのこひしき
40,しのぶれど,いろにいでにけり,わがこひは,ものやおもふと,ひとのとふまで
41,こひすてふ,わがなはまだき,たちにけり,ひとしれずこそ,おもひそめしか
42,ちぎりきな,かたみにそでを,しぼりつつ,すゑのまつやま,なみこさじとは
43,あひみての,のちのこころに,くらぶれば,むかしはものを,おもはざりけり
44,あふことの,たえてしなくば,なかなかに,ひとをもみをも,うらみざらまし
45,あはれとも,いふべきひとは,おもほえで,みのいたづらに,なりぬべきかな
46,ゆらのとを,わたるふなびと,かぢをたえ,ゆくへもしらぬ,こひのみちかな
47,やへむぐら,しげれるやどの,さびしきに,ひとこそみえね,あきはきにけり
48,かぜをいたみ,いはうつなみの,おのれのみ,くだけてものを,おもふころかな
49,みかきもり,ゑじのたくひの,よるはもえ,ひるはきえつつ,ものをこそおもへ
50,きみがため,をしからざりし,いのちさへ,ながくもがなと,おもひけるかな
